"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"WALES, Wholesale trade, except of motor vehicles and motorcycles ",46,32,15.37,13.8,17.72,9.4,11.50,12.08,12.45,13.08,13.90,16.75,18.46,20.82,23.59,x,,,,,,,,
"WALES, Retail trade, except of motor vehicles and motorcycles ",47,90,12.12,6.7,15.01,9.7,11.02,11.44,11.44,11.55,11.85,12.60,13.36,14.00,15.10,19.91,,,,,,,,
"WALES, TRANSPORTATION AND STORAGE ",H,33,14.53,3.1,17.13,2.7,11.61,12.45,12.66,13.07,14.02,15.82,17.59,18.55,20.04,x,,,,,,,,
"WALES, Land transport and transport via pipelines ",49,13,14.00,2.8,15.25,-2.2,11.65,12.32,12.52,12.78,13.31,14.92,15.68,16.06,x,x,,,,,,,,
"WALES, Water transport ",50,x,11.70,,16.11,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Air transport ",51,..,,,,,,,,,,,,,,,,,,,,,,
"WALES, Warehousing and support activities for transportation ",52,10,15.78,8.5,19.54,-0.8,11.46,12.04,12.36,12.69,13.63,18.09,x,x,x,x,,,,,,,,
"WALES, Postal and courier activities ",53,8,14.55,3.2,16.25,7.0,x,14.14,14.37,14.44,14.45,16.26,17.60,18.06,x,x,,,,,,,,
"WALES, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,67,11.54,8.9,12.19,5.2,8.60,10.40,10.98,x,11.44,11.75,12.11,12.50,12.97,x,,,,,,,,
"WALES, Accommodation ",55,18,12.00,6.1,13.74,8.4,10.98,x,11.44,11.50,11.74,12.53,13.18,13.55,14.36,x,,,,,,,,
"WALES, Food and beverage service activities ",56,48,11.44,9.0,11.47,3.5,8.60,9.50,10.37,10.91,x,11.62,11.87,12.08,12.37,x,,,,,,,,
"WALES, INFORMATION AND COMMUNICATION ",J,29,19.37,4.4,20.94,-1.1,12.14,13.38,14.26,15.78,18.40,21.74,23.61,25.38,26.60,x,,,,,,,,
"WALES, Publishing activities ",58,x,x,,17.40,-8.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,13.01,,14.95,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Programming and broadcasting activities ",60,..,,,,,,,,,,,,,,,,,,,,,,
"WALES, Telecommunications ",61,7,19.58,8.6,20.95,8.2,x,16.06,17.36,18.88,19.30,20.97,22.12,x,x,x,,,,,,,,
"WALES, Computer programming, consultancy and related activities ",62,14,19.75,2.1,21.54,0.5,12.22,13.81,14.31,16.18,18.56,22.12,25.35,26.01,x,x,,,,,,,,
"WALES, Information service activities ",63,x,21.85,0.4,26.18,6.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, FINANCIAL AND INSURANCE ACTIVITIES ",K,42,17.25,1.1,21.69,2.5,12.81,14.06,14.44,15.38,16.31,19.68,22.21,24.23,26.91,x,,,,,,,,
"WALES, Financial service activities, except insurance and pension funding ",64,19,18.11,5.7,23.63,4.1,13.64,15.15,15.60,16.19,16.57,20.91,x,26.47,x,x,,,,,,,,
"WALES, Insurance, reinsurance and pension funding, except compulsory social security ",65,x,16.94,6.7,20.16,8.8,x,x,15.14,15.96,16.62,18.25,x,x,x,x,,,,,,,,
"WALES, Activities auxiliary to financial services and insurance activities ",66,18,16.30,-5.5,20.20,-1.3,x,13.13,13.70,14.13,15.33,18.48,21.02,x,x,x,,,,,,,,
"WALES, REAL ESTATE ACTIVITIES ",L,17,15.52,3.5,16.93,4.0,11.84,12.14,12.29,13.12,13.83,16.88,18.25,19.39,x,x,,,,,,,,
"WALES, Real estate activities ",68,17,15.52,3.5,16.93,4.0,11.84,12.14,12.29,13.12,13.83,16.88,18.25,19.39,x,x,,,,,,,,
"WALES, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,53,17.53,-0.9,21.29,4.7,12.01,12.61,13.07,13.72,15.54,19.64,22.24,24.57,27.18,x,,,,,,,,
"WALES, Legal and accounting activities ",69,21,17.67,11.7,23.06,11.7,11.68,12.50,12.60,12.86,15.26,20.00,23.93,x,x,x,,,,,,,,
"WALES, Activities of head offices; management consultancy activities ",70,10,15.82,-4.3,17.59,-13.8,x,12.53,12.86,13.33,14.80,16.93,18.69,x,x,x,,,,,,,,
"WALES, Architectural and engineering activities; technical testing and analysis ",71,12,19.60,-5.3,21.92,3.8,x,14.05,15.13,15.47,17.56,21.92,25.67,29.13,x,x,,,,,,,,
"WALES, Scientific research and development ",72,x,28.12,11.5,26.49,14.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Advertising and market research ",73,x,x,,15.48,32.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Other professional, scientific and technical activities ",74,x,21.02,23.7,22.57,24.1,x,x,x,17.50,19.35,x,x,x,x,x,,,,,,,,
"WALES, Veterinary activities ",75,x,12.66,-8.6,14.53,-12.4,x,x,x,x,12.37,13.52,x,x,x,x,,,,,,,,
"WALES, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,53,13.24,3.5,15.72,2.4,11.45,11.79,12.04,12.29,12.65,14.24,15.78,16.72,17.88,x,,,,,,,,
"WALES, Rental and leasing activities ",77,5,13.51,0.8,15.17,6.2,x,11.69,12.03,12.25,12.47,14.50,x,x,x,x,,,,,,,,
"WALES, Employment activities ",78,21,13.81,5.6,15.56,-0.7,11.50,12.14,12.32,12.61,13.03,14.77,16.54,17.22,21.35,x,,,,,,,,
"WALES, Travel agency, tour operator and other reservation service and related activities ",79,x,12.46,13.1,13.42,10.0,x,x,x,x,12.39,12.62,x,x,x,x,,,,,,,,
"WALES, Security and investigation activities ",80,x,12.17,-0.6,13.52,4.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Services to buildings and landscape activities ",81,9,12.00,8.7,14.32,16.1,x,x,11.44,11.46,11.63,12.52,13.04,x,x,x,,,,,,,,
"WALES, Office administrative, office support and other business support activities ",82,13,14.02,1.9,17.76,2.5,11.63,12.02,12.34,12.52,13.03,15.82,x,x,x,x,,,,,,,,
"WALES, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,84,18.81,8.4,20.68,8.4,12.99,14.30,14.83,15.28,17.10,20.49,22.19,23.03,25.03,30.12,,,,,,,,
"WALES, Public administration and defence; compulsory social security ",84,84,18.81,8.4,20.68,8.4,12.99,14.30,14.83,15.28,17.10,20.49,22.19,23.03,25.03,30.12,,,,,,,,
"WALES, EDUCATION ",P,246,18.64,8.8,21.61,3.7,12.45,13.53,14.21,14.90,16.46,20.85,23.61,25.73,27.92,34.56,,,,,,,,
"WALES, Education ",85,246,18.64,8.8,21.61,3.7,12.45,13.53,14.21,14.90,16.46,20.85,23.61,25.73,27.92,34.56,,,,,,,,
"WALES, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,245,16.36,5.0,19.36,7.3,11.99,12.39,12.66,13.08,14.47,18.37,20.89,22.17,23.88,28.99,,,,,,,,
"WALES, Human health activities ",86,173,18.37,5.8,21.25,7.7,12.03,13.05,13.97,14.75,16.85,20.27,22.69,23.92,25.98,30.61,,,,,,,,
"WALES, Residential care activities ",87,39,12.75,5.7,15.17,4.8,11.67,12.00,12.03,12.15,12.47,13.26,14.08,15.40,18.11,x,,,,,,,,
"WALES, Social work activities without accommodation ",88,33,13.17,3.8,14.72,8.4,11.44,11.82,11.97,12.00,12.46,14.27,15.09,16.10,16.39,x,,,,,,,,
"WALES, ARTS, ENTERTAINMENT AND RECREATION ",R,23,13.04,12.9,15.59,9.7,11.29,11.51,11.78,11.99,12.42,13.85,14.73,16.42,x,x,,,,,,,,
"WALES, Creative, arts and entertainment activities ",90,x,13.67,4.5,13.83,-4.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Libraries, archives, museums and other cultural activities ",91,x,13.90,,17.55,,x,x,x,x,13.18,18.54,x,x,x,x,,,,,,,,
"WALES, Gambling and betting activities ",92,x,12.25,4.8,13.91,4.3,x,x,x,x,x,13.28,x,x,x,x,,,,,,,,
"WALES, Sports activities and amusement and recreation activities ",93,16,12.72,11.5,15.66,10.4,10.44,x,11.50,11.74,12.05,13.52,14.51,16.17,x,x,,,,,,,,
"WALES, OTHER SERVICE ACTIVITIES ",S,17,13.70,7.4,16.16,13.8,11.44,11.98,x,12.00,12.65,15.05,16.08,16.89,18.21,x,,,,,,,,
"WALES, Activities of membership organisations ",94,10,14.61,1.8,16.06,4.2,x,12.01,12.24,12.72,13.60,15.64,16.24,16.87,x,x,,,,,,,,
"WALES, Repair of computers and personal and household goods ",95,x,13.25,,14.20,-3.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"WALES, Other personal service activities ",96,7,12.00,7.7,16.51,28.3,x,x,x,11.51,11.99,13.31,x,x,x,x,,,,,,,,
"WALES, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,5,12.28,9.8,12.37,6.5,x,x,11.81,11.94,x,12.75,13.06,x,x,x,,,,,,,,
"WALES, Activities of households as employers of domestic personnel ",97,5,12.28,9.8,12.37,6.5,x,x,11.81,11.94,x,12.75,13.06,x,x,x,,,,,,,,
"WALES, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,:,,,,,,,,,,,,,,,,,,,,,,
"WALES, Activities of extraterritorial organisations and bodies ",99,:,,,,,,,,,,,,,,,,,,,,,,
Scotland All Industries and Services,,"2,448",17.52,5.0,21.16,4.3,11.90,12.82,13.39,14.11,15.59,19.96,23.11,24.71,26.58,32.65,,,,,,,,
Scotland All Index of Production Industries,,230,19.26,8.7,22.17,6.1,12.41,13.80,14.65,15.55,17.33,22.13,24.97,26.46,28.70,35.96,,,,,,,,
Scotland All Manufacturing,,174,18.26,10.9,20.62,7.0,12.20,13.37,14.06,14.71,16.38,20.38,23.00,24.74,26.30,32.11,,,,,,,,
Scotland All Service Industries,,"2,113",17.31,4.0,21.07,3.8,11.83,12.70,13.22,13.97,15.39,19.74,23.11,24.54,26.57,32.47,,,,,,,,
"SCOTLAND, AGRICULTURE, FORESTRY AND FISHING ",A,17,15.64,6.8,18.28,5.6,11.50,12.05,12.72,13.03,14.06,17.14,18.91,20.34,x,x,,,,,,,,
"SCOTLAND, Crop and animal production, hunting and related service activities ",1,10,13.75,7.5,15.96,10.4,11.44,11.70,11.88,12.19,12.99,15.34,16.59,x,x,x,,,,,,,,
"SCOTLAND, Forestry and logging ",2,x,15.31,,16.91,-0.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Fishing and aquaculture ",3,x,18.62,-9.0,23.14,-8.3,x,x,x,16.43,17.44,21.04,x,x,x,x,,,,,,,,
"SCOTLAND, MINING AND QUARRYING ",B,10,29.93,,32.62,3.3,x,17.42,18.94,21.39,25.63,34.46,x,x,x,x,,,,,,,,
"SCOTLAND, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"SCOTLAND, Extraction of crude petroleum and natural gas ",6,x,x,,52.53,1.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"SCOTLAND, Other mining and quarrying ",8,x,x,,23.02,22.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Mining support service activities ",9,7,26.54,22.1,28.35,8.7,x,15.96,16.94,18.27,24.47,30.92,x,x,x,x,,,,,,,,
"SCOTLAND, MANUFACTURING ",C,174,18.26,10.9,20.62,7.0,12.20,13.37,14.06,14.71,16.38,20.38,23.00,24.74,26.30,32.11,,,,,,,,
"SCOTLAND, Manufacture of food products ",10,22,13.58,4.2,17.62,4.3,11.46,11.77,12.00,12.29,12.87,15.26,17.28,18.49,x,x,,,,,,,,
"SCOTLAND, Manufacture of beverages ",11,19,19.13,1.0,21.49,1.4,13.25,14.53,15.53,15.74,17.43,20.94,23.88,25.72,27.20,x,,,,,,,,
"SCOTLAND, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"SCOTLAND, Manufacture of textiles ",13,x,13.22,-1.8,16.31,8.9,x,x,x,12.48,12.75,14.60,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of wearing apparel ",14,x,12.75,6.6,14.97,8.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of leather and related products ",15,x,x,,11.04,-17.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,8,15.45,12.7,19.50,0.2,x,12.63,12.93,13.70,14.60,17.76,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of paper and paper products ",17,x,19.84,37.2,21.68,31.2,x,x,x,x,18.08,21.00,x,x,x,x,,,,,,,,
"SCOTLAND, Printing and reproduction of recorded media ",18,x,16.17,-0.6,17.90,-2.1,x,x,x,x,14.43,x,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of coke and refined petroleum products ",19,x,27.06,-3.0,29.60,-2.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of chemicals and chemical products ",20,x,16.83,6.6,20.52,6.9,x,x,13.77,14.36,15.95,20.03,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,x,23.08,6.4,26.04,17.1,x,x,x,x,20.80,x,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of rubber and plastic products ",22,8,16.08,12.3,18.09,17.6,x,12.79,13.04,13.56,15.34,18.13,20.76,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of other non-metallic mineral products ",23,5,14.42,3.0,15.63,-0.6,x,x,12.26,12.66,13.51,15.45,17.14,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of basic metals ",24,x,x,,20.49,50.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of fabricated metal products, except machinery and equipment ",25,12,18.09,14.7,19.30,13.0,12.50,13.81,14.61,15.26,16.90,19.45,21.90,22.57,x,x,,,,,,,,
"SCOTLAND, Manufacture of computer, electronic and optical products ",26,9,19.47,3.4,22.75,1.6,x,14.52,15.18,16.13,17.02,22.18,27.33,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of electrical equipment ",27,x,16.63,-3.6,19.74,-4.7,x,x,x,13.52,14.56,18.72,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of machinery and equipment n.e.c. ",28,16,19.99,4.9,22.88,-5.1,12.83,14.19,14.70,15.37,17.27,23.49,26.25,27.07,x,x,,,,,,,,
"SCOTLAND, Manufacture of motor vehicles, trailers and semi-trailers ",29,x,17.92,11.9,19.00,9.8,x,x,x,x,x,18.93,x,x,x,x,,,,,,,,
"SCOTLAND, Manufacture of other transport equipment ",30,21,23.05,3.9,23.92,6.2,16.28,17.18,17.68,18.86,20.03,25.28,26.86,27.43,28.85,x,,,,,,,,
"SCOTLAND, Manufacture of furniture ",31,x,15.42,13.9,17.10,11.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Other manufacturing ",32,x,15.09,14.9,17.61,3.4,x,x,12.91,13.22,13.99,x,x,x,x,x,,,,,,,,
"SCOTLAND, Repair and installation of machinery and equipment ",33,12,22.02,19.7,23.22,9.4,14.19,15.83,17.02,17.62,19.17,23.69,25.85,27.87,x,x,,,,,,,,
"SCOTLAND, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,27,26.60,-1.2,28.97,2.7,14.93,18.39,20.56,22.33,24.86,29.20,33.26,34.91,39.10,x,,,,,,,,
"SCOTLAND, Electricity, gas, steam and air conditioning supply ",35,27,26.60,-1.2,28.97,2.7,14.93,18.39,20.56,22.33,24.86,29.20,33.26,34.91,39.10,x,,,,,,,,
"SCOTLAND, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,18,19.44,9.8,20.98,4.6,12.81,15.34,15.82,16.19,18.07,20.11,22.28,22.75,x,x,,,,,,,,
"SCOTLAND, Water collection, treatment and supply ",36,8,19.78,7.4,21.00,-6.4,x,16.98,x,18.12,19.44,21.13,22.20,x,x,x,,,,,,,,
"SCOTLAND, Sewerage ",37,..,,,,,,,,,,,,,,,,,,,,,,
"SCOTLAND, Waste collection, treatment and disposal activities; materials recovery ",38,9,17.51,8.4,21.25,14.6,x,13.53,14.21,15.36,16.14,x,x,x,x,x,,,,,,,,
"SCOTLAND, Remediation activities and other waste management services ",39,..,,,,,,,,,,,,,,,,,,,,,,
"SCOTLAND, CONSTRUCTION ",F,89,17.82,6.7,20.71,8.3,12.07,14.01,14.74,15.10,16.18,19.43,22.02,23.90,25.99,x,,,,,,,,
"SCOTLAND, Construction of buildings ",41,27,18.92,1.5,21.93,6.1,13.11,14.61,15.02,15.95,17.38,21.57,25.44,26.97,27.85,x,,,,,,,,
"SCOTLAND, Civil engineering ",42,15,19.76,19.8,22.40,18.0,12.49,14.73,15.38,15.67,17.36,22.66,24.71,27.00,x,x,,,,,,,,
"SCOTLAND, Specialised construction activities ",43,48,16.65,3.0,19.44,7.4,11.96,13.14,14.27,14.91,15.68,18.00,20.02,21.20,22.82,x,,,,,,,,
"SCOTLAND, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,243,12.72,7.0,15.97,7.8,11.40,11.50,11.65,11.89,12.22,13.59,15.00,16.00,17.42,21.97,,,,,,,,
"SCOTLAND, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,36,14.99,7.2,16.66,9.9,11.74,12.23,12.45,12.70,13.90,16.36,17.82,18.49,18.97,x,,,,,,,,
"SCOTLAND, Wholesale trade, except of motor vehicles and motorcycles ",46,52,15.46,9.2,18.53,7.1,11.69,12.38,12.67,13.08,14.07,17.11,19.22,20.40,22.91,x,,,,,,,,
"SCOTLAND, Retail trade, except of motor vehicles and motorcycles ",47,156,12.10,8.3,14.54,6.9,11.07,11.44,11.48,11.55,11.91,12.52,13.30,13.79,14.60,17.94,,,,,,,,
"SCOTLAND, TRANSPORTATION AND STORAGE ",H,85,16.07,4.0,19.23,3.0,12.13,13.14,13.79,14.20,14.95,17.86,20.10,21.66,23.54,32.83,,,,,,,,
"SCOTLAND, Land transport and transport via pipelines ",49,33,15.61,5.8,17.71,4.3,12.00,12.97,13.40,13.80,14.83,16.92,18.35,19.83,21.07,x,,,,,,,,
"SCOTLAND, Water transport ",50,x,x,,18.88,-1.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Air transport ",51,x,x,,26.28,-16.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, Warehousing and support activities for transportation ",52,31,18.85,0.5,22.02,3.4,12.30,13.35,14.06,14.76,17.00,21.43,23.98,24.80,26.84,x,,,,,,,,
"SCOTLAND, Postal and courier activities ",53,16,14.60,3.3,15.93,4.0,12.55,14.19,14.31,14.45,14.45,15.16,16.18,17.01,18.19,x,,,,,,,,
"SCOTLAND, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,108,12.00,9.5,13.82,11.7,9.98,x,11.44,11.45,11.62,12.42,13.00,13.67,14.38,17.18,,,,,,,,
"SCOTLAND, Accommodation ",55,32,12.29,8.7,13.66,5.5,11.00,11.44,11.52,11.67,12.00,12.71,13.54,14.21,14.81,x,,,,,,,,
"SCOTLAND, Food and beverage service activities ",56,76,11.80,10.1,13.90,14.9,9.38,x,x,11.44,11.54,12.21,12.80,13.23,14.15,x,,,,,,,,
"SCOTLAND, INFORMATION AND COMMUNICATION ",J,73,21.14,9.9,25.10,11.6,13.23,15.03,16.30,17.22,19.12,23.82,27.15,29.56,32.17,x,,,,,,,,
"SCOTLAND, Publishing activities ",58,7,17.80,4.3,18.47,-5.0,x,x,14.54,14.90,17.03,18.29,19.91,x,x,x,,,,,,,,
"SCOTLAND, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,15.98,,x,,x,x,x,x,14.09,x,x,x,x,x,,,,,,,,
"SCOTLAND, Programming and broadcasting activities ",60,x,x,,23.85,0.8,x,x,x,x,x,22.52,x,x,x,x,,,,,,,,
"SCOTLAND, Telecommunications ",61,23,19.98,7.8,23.52,15.3,14.45,16.34,17.06,17.53,19.06,22.58,24.19,24.97,27.31,x,,,,,,,,
"SCOTLAND, Computer programming, consultancy and related activities ",62,38,23.15,9.9,26.96,8.1,12.91,14.93,16.32,18.17,20.65,27.20,30.66,32.45,35.87,x,,,,,,,,
"SCOTLAND, Information service activities ",63,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"SCOTLAND, FINANCIAL AND INSURANCE ACTIVITIES ",K,107,26.44,12.2,30.82,12.4,14.46,16.72,17.85,19.43,22.06,29.67,34.96,37.29,40.39,49.26,,,,,,,,
"SCOTLAND, Financial service activities, except insurance and pension funding ",64,71,26.25,11.5,30.52,11.2,14.48,17.20,18.47,20.18,22.43,29.95,35.07,37.90,40.82,x,,,,,,,,
"SCOTLAND, Insurance, reinsurance and pension funding, except compulsory social security ",65,14,22.95,-0.5,27.66,5.8,12.95,15.01,15.99,16.74,18.95,27.37,30.75,33.19,x,x,,,,,,,,
"SCOTLAND, Activities auxiliary to financial services and insurance activities ",66,22,27.56,17.5,33.79,21.9,15.32,16.92,17.50,19.45,22.55,31.90,35.72,37.00,x,x,,,,,,,,
"SCOTLAND, REAL ESTATE ACTIVITIES ",L,24,17.29,-0.3,19.79,3.5,11.99,12.75,13.79,14.41,15.94,19.56,21.92,23.46,24.36,x,,,,,,,,
"SCOTLAND, Real estate activities ",68,24,17.29,-0.3,19.79,3.5,11.99,12.75,13.79,14.41,15.94,19.56,21.92,23.46,24.36,x,,,,,,,,
"SCOTLAND, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,136,19.77,1.6,23.95,6.3,12.50,14.20,15.03,16.03,17.47,22.38,25.56,27.59,30.97,39.42,,,,,,,,
"SCOTLAND, Legal and accounting activities ",69,40,17.96,2.5,24.41,7.2,12.21,13.54,13.93,14.49,16.09,22.42,26.31,27.90,30.62,x,,,,,,,,
"SCOTLAND, Activities of head offices; management consultancy activities ",70,23,18.02,-5.3,23.39,3.5,12.20,13.40,13.68,14.60,16.43,21.91,23.60,25.67,x,x,,,,,,,,
"SCOTLAND, Architectural and engineering activities; technical testing and analysis ",71,41,20.95,0.6,23.35,3.4,13.27,16.32,16.91,17.48,18.97,23.10,25.62,26.99,28.49,x,,,,,,,,
"SCOTLAND, Scientific research and development ",72,13,21.27,4.2,26.77,11.7,x,16.51,17.29,17.93,19.25,23.04,x,x,x,x,,,,,,,,
"SCOTLAND, Advertising and market research ",73,x,x,,24.17,33.2,x,x,x,x,15.56,x,x,x,x,x,,,,,,,,
"SCOTLAND, Other professional, scientific and technical activities ",74,9,20.17,25.5,24.00,17.3,x,14.43,15.12,15.70,17.88,21.68,x,x,x,x,,,,,,,,
"SCOTLAND, Veterinary activities ",75,x,16.36,,19.69,-8.5,x,x,12.65,x,14.53,x,x,x,x,x,,,,,,,,
"SCOTLAND, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,89,13.56,11.0,18.09,9.3,11.44,11.75,11.98,12.01,12.65,14.73,17.25,19.17,20.84,x,,,,,,,,
"SCOTLAND, Rental and leasing activities ",77,9,17.40,0.8,19.90,-5.8,x,12.62,12.97,13.65,15.60,18.83,x,x,x,x,,,,,,,,
"SCOTLAND, Employment activities ",78,23,13.51,3.9,16.67,3.1,11.44,11.90,12.00,12.13,12.84,14.24,15.45,16.35,20.04,x,,,,,,,,
"SCOTLAND, Travel agency, tour operator and other reservation service and related activities ",79,x,14.88,11.0,17.69,19.6,x,x,x,12.71,13.86,16.02,x,x,x,x,,,,,,,,
"SCOTLAND, Security and investigation activities ",80,x,13.01,12.4,14.10,-5.0,x,x,x,11.87,12.11,13.39,x,x,x,x,,,,,,,,
"SCOTLAND, Services to buildings and landscape activities ",81,29,12.28,12.7,15.96,24.4,11.44,11.49,11.50,11.79,12.00,13.33,15.02,16.62,19.17,x,,,,,,,,
"SCOTLAND, Office administrative, office support and other business support activities ",82,19,13.86,-3.3,22.45,8.4,11.44,11.99,12.14,12.43,13.31,17.64,x,x,x,x,,,,,,,,
"SCOTLAND, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,183,20.82,7.8,22.15,8.4,13.71,15.28,16.14,17.21,18.94,23.11,24.40,26.44,27.92,32.66,,,,,,,,
"SCOTLAND, Public administration and defence; compulsory social security ",84,183,20.82,7.8,22.15,8.4,13.71,15.28,16.14,17.21,18.94,23.11,24.40,26.44,27.92,32.66,,,,,,,,
"SCOTLAND, EDUCATION ",P,476,19.31,6.1,21.79,1.6,12.88,14.22,14.85,15.59,17.20,22.40,25.18,26.57,26.91,32.29,,,,,,,,
"SCOTLAND, Education ",85,476,19.31,6.1,21.79,1.6,12.88,14.22,14.85,15.59,17.20,22.40,25.18,26.57,26.91,32.29,,,,,,,,
"SCOTLAND, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,488,18.94,-5.2,21.72,-6.1,12.11,13.20,13.99,14.38,16.13,20.84,23.90,24.89,26.55,30.82,,,,,,,,
"SCOTLAND, Human health activities ",86,351,20.86,-11.3,23.97,-8.2,13.46,14.86,15.67,16.74,19.52,23.89,25.31,26.90,27.88,33.23,,,,,,,,
"SCOTLAND, Residential care activities ",87,65,12.83,4.1,14.86,0.3,11.45,11.90,11.99,12.01,12.35,13.55,14.98,16.10,17.20,x,,,,,,,,
"SCOTLAND, Social work activities without accommodation ",88,72,13.45,4.3,16.84,7.4,11.68,12.00,12.08,12.35,12.75,14.80,16.12,17.03,18.15,x,,,,,,,,
"SCOTLAND, ARTS, ENTERTAINMENT AND RECREATION ",R,59,13.94,5.9,17.04,7.4,11.44,11.98,12.21,12.45,13.21,15.16,16.55,17.45,18.64,x,,,,,,,,
"SCOTLAND, Creative, arts and entertainment activities ",90,6,15.10,4.9,16.82,9.9,x,12.89,13.74,14.41,14.97,16.51,x,x,x,x,,,,,,,,
"SCOTLAND, Libraries, archives, museums and other cultural activities ",91,14,15.15,11.9,16.82,3.5,11.99,12.44,12.74,13.13,13.88,15.89,17.07,17.53,x,x,,,,,,,,
"SCOTLAND, Gambling and betting activities ",92,x,11.89,-17.1,13.36,-11.7,x,x,x,11.81,11.83,12.14,12.74,x,x,x,,,,,,,,
"SCOTLAND, Sports activities and amusement and recreation activities ",93,35,13.78,9.0,17.60,11.5,11.44,11.92,12.05,12.33,13.12,14.91,16.14,17.35,18.89,x,,,,,,,,
"SCOTLAND, OTHER SERVICE ACTIVITIES ",S,34,13.99,6.8,17.37,8.5,11.44,11.63,11.99,12.11,12.95,15.22,17.25,19.09,20.05,x,,,,,,,,
"SCOTLAND, Activities of membership organisations ",94,19,15.46,1.4,19.20,2.4,11.49,12.02,12.31,12.98,14.09,17.19,19.51,20.46,x,x,,,,,,,,
"SCOTLAND, Repair of computers and personal and household goods ",95,x,14.09,,14.68,-8.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
